ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover
RELIANCE,696480000000.0,8432000000000.0,1281380000000.0,14963840000000.0,9646930000000.0,6959630000000.0,607050000000.0,3695750000000.0,221210000000.0,1787030000000.0,1399670000000.0,19501210000000.0,0.08259962049335863,0.08563176296993286,0.07219706165588431,0.13282774934616504,0.11498149236908084,0.04687475912111139,0.43830052182163187,5.792595271461507,2.5658023202389155,387360000000.0,0.040153706930598644,0.49468366321884644
TCS,485530000000.0,947560000000.0,661270000000.0,1066280000000.0,2553240000000.0,1917540000000.0,383270000000.0,93920000000.0,7960000000.0,489080000000.0,39370000000.0,1596290000000.0,0.5124002701675884,0.6201654349701767,0.1901623035828986,0.25899249580924627,0.10014282114946793,0.082024466052522,0.09911773396935286,83.07412060301507,1.0073115976355735,449710000000.0,0.17613307013833404,1.5994838030683647
HDFCBANK,673508300000.0,7676891400000.0,,15002997500000.0,2371508200000.0,1019413700000.0,386000400000.0,7326106100000.0,1823477000000.0,1195617400000.0,66397300000.0,48187671100000.0,0.08773190408815736,,0.28399998785582947,,0.32502698064489444,0.20388517319859578,0.9543063355044986,,1.77520811547534,1129220100000.0,0.47616116191375596,0.04921400320589471
INFY,3158000000.0,11205000000.0,4496000000.0,12407000000.0,19277000000.0,16311000000.0,2963000000.0,962000000.0,49000000.0,4351000000.0,263000000.0,17419000000.0,0.2818384649709951,0.36237607802047234,0.16382217149971467,0.2332313119261296,0.05727091841700993,0.0214728425629529,0.08585452922802321,91.75510204081633,1.3777707409753008,4088000000.0,0.2120661928723349,1.1066651357712842
ITC,347466300000.0,700300500000.0,269720000000.0,737565700000.0,746533200000.0,600813600000.0,152426600000.0,2848400000.0,450600000.0,176270400000.0,22787000000.0,880906800000.0,0.4961674309814144,0.36568945654604057,0.4654398491587514,0.36129672464667345,0.07506929271480134,0.31608511043335197,0.004067396781810094,598.5796715490458,0.5073021469995795,153483400000.0,0.20559487508392124,0.8474599128988447
20MICRONS,623763000.0,4293638000.0,940218000.0,4952018000.0,9116589000.0,6114427000.0,345854000.0,1648262000.0,113241000.0,317862000.0,766800000.0,7145086000.0,0.1452761038541209,0.18986562649812663,0.06842065601509512,0.10313265191619365,0.14241931525942464,(0.21723828183511973+0j),0.38388471501323584,8.302805520968553,0.5095877761265096,-448938000.0,-0.04924407582704452,1.2759243205750077
21STCENMGM,123377000.0,510134000.0,195569000.0,512069000.0,163247000.0,99744000.0,146578000.0,,442000.0,51478000.0,,570650000.0,0.24185214081006168,0.3819192335407924,0.7557688655840537,1.1979944501277207,0.17847256385642019,(-0.05581925802362786+0j),,442.46380090497735,0.41724146315763877,,,0.2860720231315167
360ONE,10153000000.0,70647100000.0,22253000000.0,104385000000.0,26353100000.0,14946400000.0,5777400000.0,110255300000.0,8784800000.0,-24108700000.0,552400000.0,197687000000.0,0.1437143208992301,0.2131819705896441,0.3852677673594378,0.8444167858809779,0.2080874415970475,(0.20675928684243883+0j),1.5606486324279412,2.5331253984154447,-2.3745395449620803,-24661100000.0,-0.93579502980674,0.1333071977418849
3IINFOLTD,253500000.0,3068800000.0,184700000.0,3508400000.0,7257600000.0,6770100000.0,-574900000.0,635100000.0,68600000.0,282500000.0,21600000.0,5728200000.0,0.08260557872784151,0.05264508037852012,0.034928902116402115,0.02544918430335097,0.02344847129609695,(-0.6194323317279858+0.6591625371651465j),0.20695385818561002,2.692419825072886,1.1143984220907297,260900000.0,0.035948522927689595,1.2669948674976432
3MINDIA,4760674000.0,18464969000.0,7842089000.0,19716359000.0,44428602000.0,33339389000.0,2719711000.0,995353000.0,108023000.0,3551044000.0,554202000.0,30145917000.0,0.25782193298022865,0.39774529364169114,0.10715336035106394,0.1765099203436561,0.10044498901364585,(0.20517069205092286+0j),0.05390493750625847,72.59647482480582,0.7459120284228662,2996842000.0,0.06745298895517801,1.4737850568619293
