ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover,final_score,score_roe,score_roce,score_operating_margin,score_revenue_cagr,score_profit_cagr,score_asset_turnover,score_debt_to_equity,score_fcf_margin,llm_prompt
ITC,347466300000.0,700300500000.0,269720000000.0,737565700000.0,746533200000.0,600813600000.0,152426600000.0,2848400000.0,450600000.0,176270400000.0,22787000000.0,880906800000.0,0.4961674309814144,0.3656894565460405,0.4654398491587514,0.3612967246466734,0.0750692927148013,0.3160851104333519,0.00406739678181,598.5796715490458,0.5073021469995795,153483400000.0,0.2055948750839212,0.8474599128988447,9.526666666666666,1.9733333333333332,1.38,0.8266666666666667,0.4599999999999999,1.84,0.3066666666666666,1.38,1.36,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ITC** (Rank #2 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 49.6%, ROCE: 36.6%
- **Growth (3Y CAGR)**: Sales: 7.5%, Profit: 31.6%
- **Financial Health**: Debt/Equity: 0.00
- **Cash Flow**: FCF Margin: 20.6%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
TCS,485530000000.0,947560000000.0,661270000000.0,1066280000000.0,2553240000000.0,1917540000000.0,383270000000.0,93920000000.0,7960000000.0,489080000000.0,39370000000.0,1596290000000.0,0.5124002701675884,0.6201654349701767,0.1901623035828986,0.2589924958092462,0.1001428211494679,0.082024466052522,0.0991177339693528,83.07412060301507,1.0073115976355735,449710000000.0,0.176133070138334,1.599483803068365,9.16,2.0,1.5,0.72,0.6000000000000001,1.52,0.46,1.06,1.3,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **TCS** (Rank #3 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 51.2%, ROCE: 62.0%
- **Growth (3Y CAGR)**: Sales: 10.0%, Profit: 8.2%
- **Financial Health**: Debt/Equity: 0.10
- **Cash Flow**: FCF Margin: 17.6%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ADANIPOWER,129387700000.0,563470900000.0,194321200000.0,964765800000.0,561318200000.0,276549000000.0,49115800000.0,393562900000.0,30726100000.0,215011100000.0,115590400000.0,1129175700000.0,0.2296262326945366,0.2014180021721333,0.2305068675841973,0.346187242815216,0.2661320737017909,0.381096178432839,0.6984618016653567,6.324304093262732,1.6617584206226712,99420700000.0,0.1771200363715268,0.4971043921685527,8.793333333333333,1.68,1.14,0.8,1.24,1.8666666666666667,0.2066666666666666,0.54,1.32,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ADANIPOWER** (Rank #4 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 23.0%, ROCE: 20.1%
- **Growth (3Y CAGR)**: Sales: 26.6%, Profit: 38.1%
- **Financial Health**: Debt/Equity: 0.70
- **Cash Flow**: FCF Margin: 17.7%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
INFY,3158000000.0,11205000000.0,4496000000.0,12407000000.0,19277000000.0,16311000000.0,2963000000.0,962000000.0,49000000.0,4351000000.0,263000000.0,17419000000.0,0.2818384649709951,0.3623760780204723,0.1638221714997146,0.2332313119261296,0.0572709184170099,0.0214728425629529,0.0858545292280232,91.75510204081633,1.3777707409753008,4088000000.0,0.2120661928723349,1.1066651357712842,8.653333333333334,1.8666666666666667,1.36,0.7066666666666667,0.42,1.413333333333333,0.4066666666666667,1.1,1.38,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **INFY** (Rank #5 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 28.2%, ROCE: 36.2%
- **Growth (3Y CAGR)**: Sales: 5.7%, Profit: 2.1%
- **Financial Health**: Debt/Equity: 0.09
- **Cash Flow**: FCF Margin: 21.2%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ABB,18716400000.0,70754000000.0,25286600000.0,71173700000.0,120876700000.0,68640200000.0,5197100000.0,518800000.0,154000000.0,13318000000.0,2139500000.0,123913300000.0,0.2645278005483789,0.3552801104902513,0.1548387737256228,0.2091933350265187,0.2075951262611677,,0.0073324476354693,164.1987012987013,0.7115684640208587,11178500000.0,0.0924785339110018,0.9754941559945542,8.299999999999999,1.84,1.32,0.6533333333333333,1.02,0.6,0.3666666666666666,1.34,1.16,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ABB** (Rank #6 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 26.5%, ROCE: 35.5%
- **Growth (3Y CAGR)**: Sales: 20.8%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.01
- **Cash Flow**: FCF Margin: 9.2%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ACCELYA,1290159000.0,2776759000.0,1780290000.0,3429080000.0,5284914000.0,3683981000.0,761877000.0,620263000.0,34219000.0,1445631000.0,192527000.0,4493375000.0,0.4646276468357534,0.5191742391545254,0.2441210963887018,0.3368626244438414,0.1278210105854778,,0.2233766056038712,52.02635962476987,1.1205060771579316,1253104000.0,0.2371096294092959,1.1761568976548809,8.253333333333332,1.9466666666666668,1.48,0.7733333333333333,0.76,0.6,0.4133333333333333,0.88,1.4,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ACCELYA** (Rank #7 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 46.5%, ROCE: 51.9%
- **Growth (3Y CAGR)**: Sales: 12.8%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.22
- **Cash Flow**: FCF Margin: 23.7%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ADANIPORTS,110923100000.0,624353900000.0,157163000000.0,1143462400000.0,304753300000.0,169790800000.0,48860300000.0,513048200000.0,26866800000.0,172262800000.0,80489200000.0,1353322300000.0,0.1776606184409195,0.1374448342157993,0.3639766985295975,0.5157056543768352,0.2152848599466101,0.3142821909647357,0.8217265880776912,5.849710423273334,1.5529930194882762,91773600000.0,0.301140627517405,0.2251890033881803,8.22,1.5733333333333333,0.8600000000000001,0.8933333333333333,1.14,1.8133333333333328,0.1,0.4000000000000001,1.44,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ADANIPORTS** (Rank #8 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 17.8%, ROCE: 13.7%
- **Growth (3Y CAGR)**: Sales: 21.5%, Profit: 31.4%
- **Financial Health**: Debt/Equity: 0.82
- **Cash Flow**: FCF Margin: 30.1%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ACE,4092186000.0,16147255000.0,5777722000.0,16293381000.0,33245835000.0,16295800000.0,1050200000.0,164367000.0,286524000.0,4119842000.0,2209976000.0,27108470000.0,0.2534292051497298,0.3546054683186995,0.1230886816348574,0.1737878444021634,0.2682956991704406,,0.0101792533777412,20.16487973084279,1.0067582460816786,1909866000.0,0.0574467749118047,1.2264002726823018,8.193333333333333,1.76,1.3,0.5333333333333333,1.26,0.6,0.42,1.26,1.06,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ACE** (Rank #9 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 25.3%, ROCE: 35.5%
- **Growth (3Y CAGR)**: Sales: 26.8%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.01
- **Cash Flow**: FCF Margin: 5.7%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
AARON,82432000.0,430297000.0,130860000.0,631350000.0,778664000.0,377292000.0,37092000.0,318567000.0,12224000.0,86325000.0,79889000.0,828242000.0,0.1915700086219518,0.2072701354240912,0.1058633762444392,0.1680570823872684,0.2731830062377873,0.3049840250620275,0.7403421357806352,10.705170157068062,1.0472268051242235,6436000.0,0.0082654392652029,0.940140683520034,8.086666666666668,1.6266666666666667,1.2000000000000002,0.5066666666666667,1.28,1.76,0.3533333333333333,0.4799999999999999,0.88,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **AARON** (Rank #10 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 19.2%, ROCE: 20.7%
- **Growth (3Y CAGR)**: Sales: 27.3%, Profit: 30.5%
- **Financial Health**: Debt/Equity: 0.74
- **Cash Flow**: FCF Margin: 0.8%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ABBOTINDIA,14144400000.0,42331500000.0,18983800000.0,45101200000.0,64069700000.0,49103000000.0,7987000000.0,1966700000.0,114300000.0,10118400000.0,526000000.0,59173100000.0,0.3341341554161794,0.4209156297393417,0.2207658222217366,0.2962991866670204,0.0927350863398008,,0.0464594923402194,166.08748906386705,0.7153643844913888,9592400000.0,0.1497181975255073,1.0827504389663547,8.046666666666667,1.92,1.46,0.7466666666666667,0.54,0.6,0.4,1.14,1.24,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ABBOTINDIA** (Rank #11 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 33.4%, ROCE: 42.1%
- **Growth (3Y CAGR)**: Sales: 9.3%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.05
- **Cash Flow**: FCF Margin: 15.0%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
